Student_ID,Name,Gender,Age,Department,Year,Attendance,Study_Hours,Current_GPA
S0001,Katherine Jackson,Female,19,Engineering,3,56.81,9.3,2.2
S0002,Jessica White,Female,20,Engineering,2,63.23,7.5,3.81
S0003,Peter Blair,Female,23,Commerce,4,79.15,8.1,2.71
S0004,Ryan Wiley,Female,21,Engineering,4,79.72,5.2,2.17
S0005,Jesus Miller,Male,21,Science,2,96.33,4.5,3.3
S0006,Peter Armstrong,Male,18,Commerce,2,64.67,2.4,2.24
S0007,Cheryl Dominguez,Male,18,Science,2,81.23,7.6,3.23
S0008,Kristy Cross,Female,20,Engineering,2,67.95,2.8,3.83
S0009,Selena Haney,Male,21,Science,3,62.03,8.8,2.19
S0010,Patricia Sanchez,Female,25,Arts,1,87.96,3.6,2.6
S0011,Jamie Coleman,Female,24,Science,1,53.77,6.2,3.33
S0012,John Wallace,Male,25,Engineering,2,97.92,5.7,2.56
S0013,Richard Mckay,Female,19,Engineering,4,52.55,1.1,3.67
S0014,Randy White,Male,21,Commerce,4,80.56,6.8,3.33
S0015,Caroline Rice,Male,22,Commerce,4,99.79,7.8,3.65
S0016,Benjamin Barrett,Female,19,Science,3,63.95,1.3,2.83
S0017,Holly Lopez,Female,24,Science,1,85.65,4.1,3.02
S0018,Toni Smith,Female,19,Science,3,97.23,1.3,2.72
S0019,David Miller,Male,24,Commerce,2,58.72,1.4,2.29
S0020,Nathan Russell,Female,24,Science,2,54.7,4.7,3.48
S0021,Kevin Gomez,Female,22,Commerce,4,81.48,2.8,2.36
S0022,Jordan Nelson,Male,19,Commerce,3,58.28,2.1,3.04
S0023,Mr. Mike Morris,Female,19,Arts,3,73.79,5.4,3.28
S0024,Brooke Montgomery,Male,24,Science,2,74.31,2.0,3.85
S0025,Mrs. Lauren Williams,Male,21,Engineering,4,90.68,4.4,2.17
S0026,Katherine Pineda,Male,23,Commerce,1,73.23,6.9,2.74
S0027,Wendy Byrd,Male,24,Arts,1,88.78,9.1,3.11
S0028,Dean Lowe,Male,24,Science,2,70.94,9.0,3.96
S0029,Casey Perez,Male,18,Arts,2,66.85,6.2,3.44
S0030,Kathleen Bentley,Male,23,Engineering,3,90.22,8.7,2.83
S0031,Lauren Lambert,Male,18,Arts,1,84.24,6.4,3.44
S0032,Kristi Bell,Female,23,Engineering,4,52.65,7.2,2.32
S0033,Jose Cook,Male,24,Arts,4,79.58,8.7,3.89
S0034,Bradley Williams,Male,23,Engineering,1,81.3,7.3,2.79
S0035,Dr. Jessica Armstrong,Female,19,Engineering,2,70.54,5.8,3.04
S0036,Catherine Mcclain,Female,19,Commerce,4,68.96,4.8,3.35
S0037,Tyler Warner,Male,22,Engineering,3,83.08,4.9,3.7
S0038,Colleen Warren,Female,18,Science,1,78.61,1.6,3.32
S0039,April Coleman,Female,21,Commerce,1,65.07,2.3,2.17
S0040,Jeffrey Castro,Male,20,Commerce,1,58.57,5.0,2.31
S0041,Jon Jones,Male,23,Arts,4,62.91,4.5,3.95
S0042,Eric Kennedy,Female,18,Engineering,2,85.1,2.3,2.54
S0043,Stephen Cohen,Male,20,Arts,2,65.62,3.7,3.05
S0044,Lisa Ray,Female,21,Arts,4,54.65,7.8,2.62
S0045,Taylor Steele,Female,23,Arts,4,89.61,7.6,2.61
S0046,Justin Hunt,Male,24,Arts,4,76.0,5.5,2.05
S0047,Jared Strickland,Male,23,Science,2,90.37,4.8,2.73
S0048,Nicole Mason,Male,23,Science,2,58.26,3.8,2.83
